Time (h),Obsv 1,Obsv 2
0,219354.8387,167741.9355
19,124423.9631,149308.7558
43,75576.03687,84792.62673
67,55299.53917,55299.53917
91,21626.70428,27268.45322
163,47014.57452,36201.22238
187,41372.82558,38081.80536
211,48847.92627,44239.63134
235,29493.08756,43317.97235
259,57142.85714,45161.29032
331,55299.53917,55299.53917
355,105069.1244,115207.3733
380,204608.2949,198156.682
404,315207.3733,325345.6221
428,616589.8618,599078.341
524,1828571.429,2074654.378
552,1936405.53,1900460.829
572,2115207.373,2148387.097
