Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,98300.41341,93706.93615,86816.72026,84979.32935
24,76711.07028,87276.06798,86357.37253,81304.54754
48,127698.6679,107946.7157,108406.0634,110243.4543
72,218649.5177,205787.7814,223242.9949,214974.7359
96,463022.508,436380.3399,449701.424,435461.6445
120,958658.7046,941203.491,868626.5503,913642.6275
144,1613688.562,1646302.251,1501607.717,1468994.028
168,2993572.084,2933884.298,2820018.365,2781450.872
192,3775941.23,3848484.848,3698806.244,3764003.673
216,3195592.287,3224977.043,3189164.371,3215794.307
240,3497704.316,3410468.32,3213039.486,3046831.956
264,3101010.101,2999081.726,2879706.152,3210284.665
288,4267217.631,4278236.915,4393021.12,4025711.662
312,4056014.692,4303030.303,4365472.911,4478420.569
336,3706152.433,3771349.862,3623507.805,3260789.715
